model,gnafbar,nafmvhalf,nafmslope,nafmfactor,nafhvhalf,nafhslope,nafhfactor,gkdrbar,kdrnvhalf,kdrnslope,kdrnfactor,ghcnsbar,hcnratio,hcnmifo,hcnmiso,hcnmifd,hcnmisd,hcnffactor,hcnsfactor,gnapbar,napmvhalf,napmslope,napmfactor,naphvhalf,naphslope,naphfactor,gkabar,kamvhalf,kamslope,kamfactor,kahvhalf,kahslope,kahfactor,ghvabar,hvamvhalf,hvamslope,hvamfactor,hvahvhalf,hvahslope,hvahfactor,glvabar,lvamvhalf,lvamslope,lvamfactor,lvahvhalf,lvahslope,lvahfactor,gkmbar,kmvhalfl,kmkl,kmmfactor,gskbar,Rm,tauca,CM
0,4765880.0,-26.081997,8.9123755,1.030942,-20.078032,5.2723341,0.95875198,3108793.5,-17.417606,18.230761,1.101038,24317.836,2.193996,71.995735,1.463661,11.700787,13.828268,0.906973,0.95287502,64532.387,45.784485,5.1943612,1.004385,44.268085,10.700297,1.1210099,26325.611,-18.064455,16.317701,0.98511302,-57.547764,6.8846912,1.123463,174604.77,6.7483482,9.1057196,0.933492,40.067921,10.670987,1.122735,57517.66,-49.040756,8.8258181,0.94785798,-86.570389,7.409616,1.155318,141421.94,-43.289959,-8.972908,1.014706,78207.836,26299.055,145.9541,1.0337141
1,4499819.5,-21.672049,10.626158,0.85289598,-28.326336,6.7718992,1.18504,1587249.4,-14.431284,17.068766,1.056585,31124.078,1.8660949,70.111168,1.6957279,11.039925,14.73884,0.93779403,0.88304198,30668.527,48.642452,4.0522871,0.807908,52.784039,11.452334,0.937464,13037.66,-22.547224,16.180246,1.160308,-53.744251,8.9239817,1.021281,151913.7,7.8599348,8.6577063,1.002501,40.15736,10.25322,1.1494091,131113.03,-57.088589,7.0452971,1.15286,-90.43911,6.5237031,0.884381,133085.11,-35.822376,-10.824162,1.093261,61263.871,75185.242,144.02496,0.90988499
2,4232064.0,-26.910824,8.4050264,0.98747098,-25.697306,6.905333,0.89750397,4088205.5,-20.628794,19.089108,0.83965498,63731.191,1.757066,75.371284,2.2803979,9.7127275,16.967888,0.82997501,0.99894899,33002.496,48.394688,4.1872821,1.090837,47.614704,11.87812,1.066805,40517.57,-14.696797,16.627439,0.82138503,-61.599712,9.1964045,1.127322,294612.5,7.472352,7.208354,1.150234,35.079506,9.032217,0.88534099,151182.94,-55.677082,7.055284,0.97866797,-85.185448,6.5475798,1.11219,122957.2,-35.754616,-10.231915,0.91877502,54157.906,68324.961,92.071106,1.096969
3,7248591.0,-21.853117,9.0850859,0.97924298,-26.843889,7.0411201,1.0379651,6207253.0,-13.579669,16.362766,0.91362202,30798.797,1.854267,78.820168,7.816186,10.695347,14.097144,0.919622,1.048947,18689.846,51.646431,3.6816249,1.097057,47.103989,11.016568,1.030496,39753.305,-20.991226,15.048035,0.85302198,-61.354393,8.7507248,1.106138,148930.7,8.6234379,9.3408098,0.86854899,40.787579,9.0860844,0.87767798,60282.934,-52.118156,9.0015154,0.98114401,-84.687065,7.9561491,0.86902797,93764.781,-43.042316,-11.479921,0.98162901,31742.248,61650.605,50.374409,1.109675
4,5122954.0,-24.560061,10.852505,1.012542,-22.91803,6.0143781,1.034146,5836150.5,-19.012094,19.282698,1.024626,42311.066,1.587103,79.086754,2.4836709,10.16394,15.86283,0.81000203,0.94613701,25865.156,48.180824,3.9239049,0.92963898,46.021851,9.214592,0.90586901,23084.098,-14.337578,16.916037,1.054686,-58.571316,9.8032293,1.0272501,345257.06,10.98701,8.1330223,1.1507339,41.96096,7.2550182,0.96119797,103273.17,-53.618446,9.0771255,0.91629899,-87.029739,5.540462,1.136602,223515.14,-35.408234,-10.262004,1.143159,51187.195,40300.117,154.9772,0.85708398
5,7485633.0,-22.454391,11.106263,0.9738,-20.195023,5.6753402,0.93533403,6357165.0,-20.513321,19.283073,1.111462,46224.316,1.980195,75.9245,2.7297361,9.3946457,14.580219,0.98627001,0.83784598,34982.59,48.001579,5.0221319,1.121929,45.45208,8.4626379,0.95446402,26247.746,-18.438599,17.836945,0.93866402,-56.903049,9.2489681,1.062423,218240.02,14.759148,9.075161,1.061112,41.510101,8.436554,1.1735539,77411.156,-56.851574,9.7225256,0.84603101,-90.644722,7.0347691,0.89354199,202704.62,-39.58342,-8.4392109,1.197827,60646.801,52627.992,59.158203,1.2498519
6,8314366.5,-24.662785,9.7186565,0.91999,-21.46566,6.1587172,0.97097999,6221087.5,-16.595982,15.895828,0.92704201,43548.535,1.61869,78.40815,3.5154541,10.199957,14.242379,0.93854499,0.89207602,20370.498,48.057842,4.4094219,0.95025897,50.469021,8.488946,1.080874,48111.363,-17.939445,17.569834,0.94708002,-60.212585,9.4835835,0.87839901,277669.72,10.865723,9.5838108,1.067842,40.067471,9.7316236,0.83191597,70013.141,-51.250149,9.8303576,1.16458,-88.600983,5.3563018,1.028963,178548.98,-38.80722,-11.509546,0.81035,32913.945,76059.891,139.82812,1.1999069
7,5677138.5,-23.245569,9.933383,1.02083,-28.608154,7.2789001,1.128023,4688218.0,-18.721216,17.369333,1.144083,38666.797,1.697024,72.675308,3.0038619,9.2282333,16.591137,1.145103,0.92309397,44587.48,51.36795,3.7534139,1.094582,51.351028,9.4210491,1.034409,16147.558,-21.954512,12.07939,1.136004,-53.749443,9.7599936,1.0890599,134189.47,8.1911192,7.7673349,0.83421499,36.776558,7.2877622,1.05179,113031.07,-54.834354,6.78405,0.96785903,-89.052399,6.7471581,1.163869,95846.594,-35.840557,-10.438608,1.03909,59908.52,22989.254,90.322212,1.188669
8,4598227.0,-25.160744,9.1379108,0.81992799,-24.387486,7.029912,1.0889651,5320989.0,-19.355862,19.848883,0.93101603,44613.484,1.517223,72.278816,6.6159801,9.2211246,17.275225,1.05044,0.95146602,65924.18,47.036617,4.8572211,0.82515401,50.794968,8.54002,0.93920302,21102.754,-15.832909,12.543128,0.830194,-57.706299,9.116251,0.88617003,267019.5,11.093229,6.9716539,0.81653202,37.399837,8.9179544,1.0000401,129778.04,-55.413284,9.6614952,0.80497998,-89.345062,6.3171721,0.82012099,100500.27,-44.034611,-9.8825693,1.131775,79158.641,78184.906,42.356529,1.09038
9,2418853.8,-26.751486,10.79911,1.0889651,-20.976063,5.6924462,1.009985,3104941.5,-17.044514,15.912564,0.92315298,60808.5,1.749997,76.362305,4.0909958,9.3053408,18.821133,0.933465,1.103914,20207.102,50.694969,3.7651391,0.93920302,46.094067,10.964863,0.836209,15330.728,-18.006296,16.676067,0.88617003,-56.443722,8.1977787,0.82995898,101159.12,11.499837,8.3234234,1.0000401,38.991093,7.9263768,1.177901,43465.059,-53.611065,7.7600412,0.82012099,-91.095093,5.5996041,1.0117429,216275.53,-38.184792,-8.121006,0.81147498,79099.266,62544.473,74.322601,0.78388202
